Record_Type|State_Code|Station_Id|Travel_Dir|Travel_Lane|Year_Record|F_System|Num_Lanes|Sample_Type_Volume|Num_Lanes_Volume|Method_Volume|Sample_Type_Class|Num_Lanes_Class|Method_Class|Algorithm_Volume|Num_Classes|Sample_Type_Truck|Num_Lanes_Truck|Method_Truck|Calibration|Data_Retrieval|Type_Sensor_1|Type_Sensor_2|Primary_Purpose|LRS_Id|LRS_Point|Latitude|Longitude|SHRP_Id|Prev_Station_Id|Year_Established|Year_Discontinued|County_Code|Is_Sample|Sample_Id|NHS|Posted_Route_Signing|Posted_Signed_Route|Con_Route_Signing|Con_Signed_Route|Station_Location
S|01|000004|7|2|18|1U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IN0000200000|159641|33606756| 86266015|    |      |62|  |115|Y|C8B3A471F0F1|Y|1|00000020|0|        |I-20 Between Exits 153 (Mtn. Olive Dr             
S|01|000008|3|1|18|3R|1|T|1|3|H|1|3|G|15|N|0|0| |2|L|P|P|            |      |31404319| 86039568|    |      |37|  |031|Y|000012169125|Y|2|00000084|3|00000012|0.3 Miles East of AL 87                           
S|01|000002|7|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000020000|120142|34624993| 86307843|    |      |38|  |071|N|            |Y|2|00000002|0|        |AL2 btw CR5 and Willow St                         
S|01|000009|1|1|18|4R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000210000|201920|31275136| 87501895|    |      |76|  |099|N|            |N|3|00000021|0|        |AL21 north of Bad Dog Rd                          
S|01|000011|1|1|18|3R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000210000|177088|32724703| 86237391|    |      |55|  |051|N|            |Y|3|00000021|0|        |AL21 north of CR428                               
S|01|000004|3|2|18|1U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IN0000200000|159641|33606756| 86266015|    |      |62|  |115|Y|C8B3A471F0F1|Y|1|00000020|0|        |I-20 Between Exits 153 (Mtn. Olive Dr             
S|01|000007|3|1|18|4R|1|T|1|3| |0|0| |13| |0|0| |2|W| |P|IV0000120031| 13000|31409424| 86043048|    |      |18|  |031|N|            |N|0|00000012|0|        |CCS #7 (Exact location pending)                   
S|01|000004|7|3|18|1U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IN0000200000|159641|33606756| 86266015|    |      |62|  |115|Y|C8B3A471F0F1|Y|1|00000020|0|        |I-20 Between Exits 153 (Mtn. Olive Dr             
S|01|000010|5|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000130000|246930|31077766| 88022592|    |      |38|  |097|N|            |Y|3|00000013|0|        |AL13 south of Williamson St                       
S|01|000025|5|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000010000|576980|31771645| 85184892|    |      |61|  |005|N|            |Y|2|00000001|0|        |AL1 north of CR40                                 
S|01|000010|1|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000130000|246930|31077766| 88022592|    |      |38|  |097|N|            |Y|3|00000013|0|        |AL13 south of Williamson St                       
S|01|000029|7|1|18|5R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000180000|220660|33736263| 87912273|    |      |61|  |057|N|            |N|3|00000018|0|        |AL18 north of Norris Lp                           
S|01|000015|5|1|18|3R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000050000|487460|32455742| 87362864|    |      |77|  |047|Y|000000000216|Y|3|00000005|0|        |AL5 btw the Dallas/Perry County Line              
S|01|000012|3|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000020000|156900|34729172| 87845799|    |      |61|  |033|N|            |Y|2|00000002|0|        |AL2 east of Colbert Steam Plant Rd                
S|01|000031|1|2|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 56140|30329407| 87683026|    |      |61|  |003|N|            |Y|3|00000059|0|        |AL59 south of CR10                                
S|01|000017|5|1|18|4U|1|T|1|3|H|1|3|G|13| |0|0| |2|P|P|P|AL0000250000|122022|33123061| 86705598|    |      |61|  |117|N|            |N|3|00000025|0|        |AL25 south of CR42                                
S|01|000014|1|2|18|4U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000030000|290217|33742225| 86814108|    |      |86|  |073|N|            |N|3|00000003|0|        |AL3 north of Cross Creek Dr                       
S|01|000031|5|1|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 56140|30329407| 87683026|    |      |61|  |003|N|            |Y|3|00000059|0|        |AL59 south of CR10                                
S|01|000023|3|1|18|3R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000420000| 11490|30851887| 88404627|    |      |61|  |097|N|            |Y|3|00000042|0|        |AL42 east of the Alabama/Mississippi              
S|01|000017|1|1|18|4U|1|T|1|3|H|1|3|G|13| |0|0| |2|P|P|P|AL0000250000|122022|33123061| 86705598|    |      |61|  |117|N|            |N|3|00000025|0|        |AL25 south of CR42                                
S|01|000031|5|3|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 56140|30329407| 87683026|    |      |61|  |003|N|            |Y|3|00000059|0|        |AL59 south of CR10                                
S|01|000030|7|1|18|3R|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000420000|759200|30414500| 87499940|1111|      |61|  |003|Y|000000000571|Y|3|00000042|0|        |AL42 (US98) west of Hillcrest Dr                  
S|01|000018|3|1|18|3R|1|T|1|3| |0|0| |13| |0|0| |2|L| |E|AL0000080000|207434|32462012| 85131107|    |      |61|  |113|Y|000000000290|Y|3|00000008|0|        |AL8 at  west of Rolling Hills Dr                  
S|01|000034|3|3|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IV0004020101| 16720|32380369| 86286308|    |      |65|  |101|N|            |Y|5|00000402|0|        |Madison Ave west of Edgar St                      
S|01|000032|1|2|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 24400|30283723| 87686463|    |      |18|  |003|Y|035ECC65D5A9|Y|3|00000059|0|        |AL59 north of Waterway West Blvd.  (C             
S|01|000032|1|3|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 24400|30283723| 87686463|    |      |18|  |003|Y|035ECC65D5A9|Y|3|00000059|0|        |AL59 north of Waterway West Blvd.  (C             
S|01|000019|5|1|18|4R|1|T|1|3|H|1|3|G|13| |0|0| |2|P|P|P|AL0000150000|155692|32303633| 85681925|    |      |61|  |087|N|            |N|3|00000015|0|        |AL15 north of CR45                                
S|01|000034|7|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IV0004020101| 16720|32380369| 86286308|    |      |65|  |101|N|            |Y|5|00000402|0|        |Madison Ave west of Edgar St                      
S|01|000007|7|1|18|4R|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|IV0000120031| 13000|31409424| 86043048|    |      |18|  |031|N|            |N|0|00000012|0|        |CCS #7 (Exact location pending)                   
S|01|000014|1|1|18|4U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000030000|290217|33742225| 86814108|    |      |86|  |073|N|            |N|3|00000003|0|        |AL3 north of Cross Creek Dr                       
S|01|000007|7|2|18|4R|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|IV0000120031| 13000|31409424| 86043048|    |      |18|  |031|N|            |N|0|00000012|0|        |CCS #7 (Exact location pending)                   
S|01|000012|3|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000020000|156900|34729172| 87845799|    |      |61|  |033|N|            |Y|2|00000002|0|        |AL2 east of Colbert Steam Plant Rd                
S|01|000034|3|2|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IV0004020101| 16720|32380369| 86286308|    |      |65|  |101|N|            |Y|5|00000402|0|        |Madison Ave west of Edgar St                      
S|01|000025|1|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000010000|576980|31771645| 85184892|    |      |61|  |005|N|            |Y|2|00000001|0|        |AL1 north of CR40                                 
S|01|000040|3|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000120000|232252|31126291| 85068170|    |      |64|  |069|N|            |Y|3|00000012|0|        |AL12 west of the Georgia State line               
S|01|000012|7|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000020000|156900|34729172| 87845799|    |      |61|  |033|N|            |Y|2|00000002|0|        |AL2 east of Colbert Steam Plant Rd                
S|01|000019|1|1|18|4R|1|T|1|3|H|1|3|G|13| |0|0| |2|P|P|P|AL0000150000|155692|32303633| 85681925|    |      |61|  |087|N|            |N|3|00000015|0|        |AL15 north of CR45                                
S|01|000010|5|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000130000|246930|31077766| 88022592|    |      |38|  |097|N|            |Y|3|00000013|0|        |AL13 south of Williamson St                       
S|01|000014|5|2|18|4U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000030000|290217|33742225| 86814108|    |      |86|  |073|N|            |N|3|00000003|0|        |AL3 north of Cross Creek Dr                       
S|01|000039|1|1|18|3R|2|T|2|3|H|2|3|G|13| |0|0| |2|L|P|P|AL0000130000|877490|31863279| 87746896|    |      |64|  |025|N|            |Y|3|00000013|0|        |AL13 north of Old Grove Hill Rd                   
S|01|000031|5|2|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 56140|30329407| 87683026|    |      |61|  |003|N|            |Y|3|00000059|0|        |AL59 south of CR10                                
S|01|000024|7|1|18|4U|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000160000|521990|30638466| 87801841|    |      |61|  |003|N|            |N|3|00000016|0|        |AL16 (US90) north of Gus Moore Rd                 
S|01|000014|5|1|18|4U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000030000|290217|33742225| 86814108|    |      |86|  |073|N|            |N|3|00000003|0|        |AL3 north of Cross Creek Dr                       
S|01|000023|7|1|18|3R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000420000| 11490|30851887| 88404627|    |      |61|  |097|N|            |Y|3|00000042|0|        |AL42 east of the Alabama/Mississippi              
S|01|000025|1|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000010000|576980|31771645| 85184892|    |      |61|  |005|N|            |Y|2|00000001|0|        |AL1 north of CR40                                 
S|01|000018|7|1|18|3R|1|T|1|3| |0|0| |13| |0|0| |2|L| |E|AL0000080000|207434|32462012| 85131107|    |      |61|  |113|Y|000000000290|Y|3|00000008|0|        |AL8 at  west of Rolling Hills Dr                  
S|01|000041|3|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|AL0002100000| 29340|31222158| 85432246|    |      |65|  |069|N|            |Y|3|00000210|0|        |AL210 (Ross Clark Cir) south of AL12              
S|01|000043|1|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000100000|172583|31773508| 85924979|    |      |64|  |109|N|            |Y|3|00000010|0|        |AL10 northwest of CR5516                          
S|01|000029|3|1|18|5R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000180000|220660|33736263| 87912273|    |      |61|  |057|N|            |N|3|00000018|0|        |AL18 north of Norris Lp                           
S|01|000043|1|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000100000|172583|31773508| 85924979|    |      |64|  |109|N|            |Y|3|00000010|0|        |AL10 northwest of CR5516                          
S|01|000021|3|1|18|4R|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000040000|183709|33683278| 85526441|    |      |77|  |029|N|            |N|2|00000004|0|        |AL4 south of CR66                                 
S|01|000032|5|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 24400|30283723| 87686463|    |      |18|  |003|Y|035ECC65D5A9|Y|3|00000059|0|        |AL59 north of Waterway West Blvd.  (C             
S|01|000026|3|1|18|4R|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000060000|197363|32139107| 85766053|    |      |61|  |011|N|            |N|3|00000006|0|        |AL6 south of AL110                                
S|01|000025|5|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000010000|576980|31771645| 85184892|    |      |61|  |005|N|            |Y|2|00000001|0|        |AL1 north of CR40                                 
S|01|000044|1|2|18|1U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000850000|132330|32366301| 86103165|    |      |64|  |101|N|            |Y|1|00000085|0|        |I-85 Between Exits 11 (Chantilly Pkwy             
S|01|000030|3|1|18|3R|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000420000|759200|30414500| 87499940|1111|      |61|  |003|Y|000000000571|Y|3|00000042|0|        |AL42 (US98) west of Hillcrest Dr                  
S|01|000044|1|1|18|1U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000850000|132330|32366301| 86103165|    |      |64|  |101|N|            |Y|1|00000085|0|        |I-85 Between Exits 11 (Chantilly Pkwy             
S|01|000028|1|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |E|AL0000130000|291669|34464705| 87753488|    |      |63|  |059|N|            |Y|3|00000013|0|        |AL13 btw CR36 and CR46                            
S|01|000031|1|3|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 56140|30329407| 87683026|    |      |61|  |003|N|            |Y|3|00000059|0|        |AL59 south of CR10                                
S|01|000028|5|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |E|AL0000130000|291669|34464705| 87753488|    |      |63|  |059|N|            |Y|3|00000013|0|        |AL13 btw CR36 and CR46                            
S|01|000026|7|1|18|4R|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000060000|197363|32139107| 85766053|    |      |61|  |011|N|            |N|3|00000006|0|        |AL6 south of AL110                                
S|01|000046|3|1|18|3R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000060000|114723|32655810| 86768573|1234|      |64|  |001|N|            |Y|3|00000006|0|        |AL6 (US82) south of CR26                          
S|01|000034|7|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IV0004020101| 16720|32380369| 86286308|    |      |65|  |101|N|            |Y|5|00000402|0|        |Madison Ave west of Edgar St                      
S|01|000044|5|2|18|1U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000850000|132330|32366301| 86103165|    |      |64|  |101|N|            |Y|1|00000085|0|        |I-85 Between Exits 11 (Chantilly Pkwy             
S|01|000045|3|1|18|3R|2|T|2|3|H|2|3|G|13| |0|0| |2|L|P|P|AL0000080000|680230|32439611| 87291046|    |      |64|  |047|N|            |Y|3|00000008|0|        |AL8 btw CR3 and CR349                             
S|01|000032|5|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 24400|30283723| 87686463|    |      |18|  |003|Y|035ECC65D5A9|Y|3|00000059|0|        |AL59 north of Waterway West Blvd.  (C             
S|01|000039|5|1|18|3R|2|T|2|3|H|2|3|G|13| |0|0| |2|L|P|P|AL0000130000|877490|31863279| 87746896|    |      |64|  |025|N|            |Y|3|00000013|0|        |AL13 north of Old Grove Hill Rd                   
S|01|000028|5|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |E|AL0000130000|291669|34464705| 87753488|    |      |63|  |059|N|            |Y|3|00000013|0|        |AL13 btw CR36 and CR46                            
S|01|000031|1|1|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000590000| 56140|30329407| 87683026|    |      |61|  |003|N|            |Y|3|00000059|0|        |AL59 south of CR10                                
S|01|000050|1|2|18|1R|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|IN0000590000|900260|33197591| 87236994|    |      |64|  |125|Y|000000001061|Y|1|00000059|0|        |I-59/I-20 Between Exits 89 (M Class B             
S|01|000047|1|2|18|1R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000850000|693030|32730691| 85293339|    |      |64|  |081|Y|49181763D964|Y|1|00000085|0|        |I-85 at the Chambers County line                  
S|01|000047|5|1|18|1R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000850000|693030|32730691| 85293339|    |      |64|  |081|Y|49181763D964|Y|1|00000085|0|        |I-85 at the Chambers County line                  
S|01|000034|3|1|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|L| |P|IV0004020101| 16720|32380369| 86286308|    |      |65|  |101|N|            |Y|5|00000402|0|        |Madison Ave west of Edgar St                      
S|01|000039|5|2|18|3R|2|T|2|3|H|2|3|G|13| |0|0| |2|L|P|P|AL0000130000|877490|31863279| 87746896|    |      |64|  |025|N|            |Y|3|00000013|0|        |AL13 north of Old Grove Hill Rd                   
S|01|000040|7|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000120000|232252|31126291| 85068170|    |      |64|  |069|N|            |Y|3|00000012|0|        |AL12 west of the Georgia State line               
S|01|000045|7|2|18|3R|2|T|2|3|H|2|3|G|13| |0|0| |2|L|P|P|AL0000080000|680230|32439611| 87291046|    |      |64|  |047|N|            |Y|3|00000008|0|        |AL8 btw CR3 and CR349                             
S|01|000040|7|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000120000|232252|31126291| 85068170|    |      |64|  |069|N|            |Y|3|00000012|0|        |AL12 west of the Georgia State line               
S|01|000039|1|2|18|3R|2|T|2|3|H|2|3|G|13| |0|0| |2|L|P|P|AL0000130000|877490|31863279| 87746896|    |      |64|  |025|N|            |Y|3|00000013|0|        |AL13 north of Old Grove Hill Rd                   
S|01|000048|1|2|18|1U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000650000|209971|32865044| 86607095|    |      |64|  |021|Y|DC3171BA054A|Y|1|00000065|0|        |I-65 Between Exits 208 (CR28) and 212             
S|01|000041|3|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|AL0002100000| 29340|31222158| 85432246|    |      |65|  |069|N|            |Y|3|00000210|0|        |AL210 (Ross Clark Cir) south of AL12              
S|01|000051|1|2|18|1U|3|T|3|3| |0|3|G|04| |0|0| |2|W| |P|IN0000590000|781910|33171928| 87435207|    |      |17|  |125|Y|000000001058|Y|1|00000059|0|        |I-59/20 Between Exits 77 (CR85) and 7             
S|01|000050|1|3|18|1R|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|IN0000590000|900260|33197591| 87236994|    |      |64|  |125|Y|000000001061|Y|1|00000059|0|        |I-59/I-20 Between Exits 89 (M Class B             
S|01|000051|1|3|18|1U|3|T|3|3| |0|3|G|04| |0|0| |2|W| |P|IN0000590000|781910|33171928| 87435207|    |      |17|  |125|Y|000000001058|Y|1|00000059|0|        |I-59/20 Between Exits 77 (CR85) and 7             
S|01|000051|5|1|18|1U|3|T|3|3| |0|3|G|04| |0|0| |2|W| |P|IN0000590000|781910|33171928| 87435207|    |      |17|  |125|Y|000000001058|Y|1|00000059|0|        |I-59/20 Between Exits 77 (CR85) and 7             
S|01|000041|7|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|AL0002100000| 29340|31222158| 85432246|    |      |65|  |069|N|            |Y|3|00000210|0|        |AL210 (Ross Clark Cir) south of AL12              
S|01|000042|1|1|18|3R|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000090000|638610|31813312| 86309489|    |      |64|  |041|N|            |Y|3|00000009|0|        |AL9 north of Gourd Neck Rd                        
S|01|000051|5|2|18|1U|3|T|3|3| |0|3|G|04| |0|0| |2|W| |P|IN0000590000|781910|33171928| 87435207|    |      |17|  |125|Y|000000001058|Y|1|00000059|0|        |I-59/20 Between Exits 77 (CR85) and 7             
S|01|000043|5|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000100000|172583|31773508| 85924979|    |      |64|  |109|N|            |Y|3|00000010|0|        |AL10 northwest of CR5516                          
S|01|000053|1|1|18|1R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000590000|168997|33888662| 86249767|    |      |64|  |115|N|            |Y|1|00000059|0|        |I-59 Between Exits 166 (AL53) and 174             
S|01|000042|5|1|18|3R|1|T|1|3| |0|0| |13| |0|0| |2|L| |P|AL0000090000|638610|31813312| 86309489|    |      |64|  |041|N|            |Y|3|00000009|0|        |AL9 north of Gourd Neck Rd                        
S|01|000051|5|3|18|1U|3|T|3|3| |0|3|G|04| |0|0| |2|W| |P|IN0000590000|781910|33171928| 87435207|    |      |17|  |125|Y|000000001058|Y|1|00000059|0|        |I-59/20 Between Exits 77 (CR85) and 7             
S|01|000054|1|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|AL0000010000|288633|34296473| 86262432|    |      |64|  |095|Y|000000000087|Y|2|00000001|0|        |AL1 southeast of Red Barn Rd                      
S|01|000041|7|2|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|AL0002100000| 29340|31222158| 85432246|    |      |65|  |069|N|            |Y|3|00000210|0|        |AL210 (Ross Clark Cir) south of AL12              
S|01|000054|1|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|W| |P|AL0000010000|288633|34296473| 86262432|    |      |64|  |095|Y|000000000087|Y|2|00000001|0|        |AL1 southeast of Red Barn Rd                      
S|01|000049|5|1|18|3R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000010000|188825|33238533| 85441860|    |      |64|  |111|N|            |Y|2|00000001|0|        |AL1 northwest of CR61                             
S|01|000059|7|1|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000020000|692360|34791603| 87069392|    |      |64|  |083|N|            |Y|2|00000002|0|        |AL-2/US-72 west of CR-41                          
S|01|000043|5|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000100000|172583|31773508| 85924979|    |      |64|  |109|N|            |Y|3|00000010|0|        |AL10 northwest of CR5516                          
S|01|000052|7|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000050000|144756|33621380| 86974980|    |      |65|  |073|N|            |Y|2|00000005|0|        |AL5 east of 2nd Ave                               
S|01|000054|5|3|18|3U|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|AL0000010000|288633|34296473| 86262432|    |      |64|  |095|Y|000000000087|Y|2|00000001|0|        |AL1 southeast of Red Barn Rd                      
S|01|000046|7|1|18|3R|1|T|1|3|H|1|3|G|13| |0|0| |2|L|P|P|AL0000060000|114723|32655810| 86768573|1234|      |64|  |001|N|            |Y|3|00000006|0|        |AL6 (US82) south of CR26                          
S|01|000059|3|2|18|3R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000020000|692360|34791603| 87069392|    |      |64|  |083|N|            |Y|2|00000002|0|        |AL-2/US-72 west of CR-41                          
S|01|000050|1|1|18|1R|3|T|3|3| |0|0| |13| |0|0| |2|W| |P|IN0000590000|900260|33197591| 87236994|    |      |64|  |125|Y|000000001061|Y|1|00000059|0|        |I-59/I-20 Between Exits 89 (M Class B             
S|01|000060|7|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000060000|157147|32326732| 86303824|    |      |65|  |101|N|            |Y|3|00000006|0|        |AL6 btw S Court St and Norman Bridge              
S|01|000106|1|1|18|1U|2|T|2|3|H|2|3|G|13| |0|0| |2|L|P|P|IN0007590000| 36760|33991673| 86025060|    |      |96|  |055|Y|6C137DE5BFE9|Y|1|00000759|0|        |Between Exit 2 (Black Creek Pkwy) and             
S|01|000045|3|2|18|3R|2|T|2|3|H|2|3|G|13| |0|0| |2|L|P|P|AL0000080000|680230|32439611| 87291046|    |      |64|  |047|N|            |Y|3|00000008|0|        |AL8 btw CR3 and CR349                             
S|01|000053|5|1|18|1R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000590000|168997|33888662| 86249767|    |      |64|  |115|N|            |Y|1|00000059|0|        |I-59 Between Exits 166 (AL53) and 174             
S|01|000056|5|2|18|1R|2|T|2|3| |0|3|G|15| |0|0| |2|L|P|P|IN0000650000|326104|34430964| 86899616|    |      |72|  |103|N|            |Y|1|00000065|0|        |I-65 Between Exits 325 (Thompson Rd)              
S|01|000047|1|1|18|1R|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|IN0000850000|693030|32730691| 85293339|    |      |64|  |081|Y|49181763D964|Y|1|00000085|0|        |I-85 at the Chambers County line                  
S|01|000060|3|1|18|3U|2|T|2|3| |0|0| |13| |0|0| |2|L| |P|AL0000060000|157147|32326732| 86303824|    |      |65|  |101|N|            |Y|3|00000006|0|        |AL6 btw S Court St and Norman Bridge              
